"X","Y"
1852242.69673191,-3261199.0299545
1852251.90284437,-3261324.78424145
1852282.47664416,-3261556.11690156
1852329.14689983,-3261607.20869284
1868415.47999569,-3135481.2522788
431810.927476521,-3929071.14944921
864850.428198802,-4381794.19479652
962158.228565319,-4362899.11919827
1853254.63820548,-3261415.28629903
1658641.45786717,-3562118.66428741
1773242.95502099,-3218055.32310933
1851956.77360177,-3261731.89621054
1851378.72407114,-3261503.95440807
1658536.40308923,-3562043.10886151
1393409.98606114,-4308554.11379373
830379.423365208,-4389807.31587998
841816.925967911,-4393010.03723649
1852243.32010961,-3260399.89325553
1852046.51795787,-3260403.70353351
1852339.91951632,-3261638.75172961
665114.834555281,-4334323.36741521
1852154.2180833,-3261765.72255203
1852354.19878593,-3261693.19783172
1852149.63614992,-3261753.72807836
1885775.90173626,-3360997.748103
1885978.13615389,-3360768.79462705
1879687.18096787,-3350256.91729847
1866150.69211733,-3346988.12423045
1886584.65228191,-3360441.24574675
1885861.43893854,-3359420.37418618
1885698.97006879,-3361962.23978969
1863924.40420972,-3356280.3224863
1885829.58399769,-3361067.23954848
1870866.72656838,-3342325.06963236
1881370.21490081,-3343386.75663066
1885959.87751188,-3360766.48412093
1886229.55815416,-3360415.66909638
1886012.98062308,-3360680.38512073
1880848.24024023,-3343680.8526005
1886329.88996074,-3358168.19377769
1886191.45134837,-3357820.29552996
1886093.95027751,-3359740.14007795
1886589.78433553,-3360428.52935192
1886213.432307,-3357898.88803727
1886254.13685262,-3358052.45908626
1885845.86204096,-3361164.00241377
1885986.38432477,-3360716.22336577
1863857.98702896,-3262005.03947328
1874099.80790701,-3262524.9530597
1870734.71597025,-3265251.56285632
1872287.68008522,-3259227.6913408
1863861.29056639,-3261991.26160281
1835234.46558579,-3114389.94314214
1871655.3287198,-3264669.17899088
1868284.89010686,-3265350.90002493
1852540.4577888,-3297902.13925822
1872791.55425748,-3265005.89609511
1871187.45316626,-3263541.86985561
1868288.7946033,-3265348.62256594
1846071.02663928,-3232468.19164354
1870968.42623239,-3264304.37206417
1869047.45195181,-3258823.69614157
1873035.95492082,-3265439.63262873
1874097.80115725,-3263199.37862358
1872093.58651037,-3258580.04471169
1871640.64750605,-3273498.60085174
1874172.76947013,-3262328.34428057
1860716.65099751,-3286674.31766597
1869042.29573668,-3258816.14547268
1862479.96134501,-3255984.1981898
1868131.76524425,-3317402.75567248
1873064.00138856,-3263676.94910445
1874254.12321627,-3262474.61016408
1871191.04460867,-3263667.57663948
1863727.36595979,-3266261.6815661
1844154.27640176,-3235086.96872751
1808498.95224884,-3564750.85649979
1851906.9431364,-3261883.61902906
1851798.95673215,-3261605.35903411
1852111.67749978,-3261043.69884056
1851529.81605004,-3261483.96266114
1852454.72742698,-3260689.31078451
1852402.80644632,-3261158.83427661
1851807.61095537,-3260757.40348903
1852304.04150262,-3261618.43075621
1852265.47647956,-3261521.40764867
1852042.90099961,-3260309.80789363
1852332.61779917,-3261123.41485081
444554.140311136,-3935363.8333042
1885947.03077865,-3360779.65282334
1885770.11486184,-3360938.43075577
1853272.08635771,-3363812.29486683
1871895.33212043,-3258697.9499222
1886090.51998441,-3261205.54618049
1871948.07728068,-3258706.86981322
1871879.82264843,-3264039.65790169
1871326.80137994,-3264962.55192978
428567.944773481,-3936955.67260769
433023.225607285,-3952422.87551728
421002.580889662,-3959814.28300671
419606.782322006,-3948522.32052688
1714671.55371303,-3182342.52854954
1849439.9024075,-3129925.17255598
1875988.88591785,-3135730.35111964
1266481.24318101,-4249654.32822437
1864249.51713714,-3261730.92348307
1347709.32001904,-2265723.35071105
847614.656540237,-4388947.47572595
1868288.46805399,-3265343.6991622
1638996.86867933,-3478188.77886543
1638996.86867933,-3478188.77886543
422460.041261562,-3949637.1027742
452034.498859016,-3932641.29500035
1854562.0262015,-3256848.56709763
876207.919159614,-4369609.43401525
1348153.28680876,-2265369.8471945
1066243.26226615,-4399757.19902923
1066235.79572763,-4399749.61057524
432026.596339184,-3950102.49420092
1347979.7631793,-2265626.64394296
836417.967774481,-4391136.16434957
1774839.22761352,-3683373.70028546
1558167.70784804,-3905630.86145855
1824533.11211479,-3471833.14425882
1581453.89965399,-3905075.25427873
1675414.90454899,-3806433.7617859
1783068.9306598,-3546846.9586101
1772910.59361075,-3684463.99572965
1774624.3911575,-3683780.47782729
1824628.6467141,-3471270.32733871
1824532.25845575,-3471841.88203828
1824958.77617646,-3472477.70673389
1792960.92111362,-3550254.90253365
1824833.59318322,-3472432.5832186
1823778.25163487,-3472450.50684883
1539658.55890386,-3948883.36410769
1824441.58826313,-3472298.24771548
1823707.61967904,-3472453.21474794
1824630.91764312,-3471286.52772479
1773708.58463849,-3682480.12756082
1509279.4093433,-3974345.90543296
1675331.67278774,-3807668.77218187
1664627.91699099,-3811843.06441618
1824510.04926516,-3471871.6258718
1824617.62269517,-3471294.80059978
1774518.90986874,-3685694.51833741
1808496.40245779,-3564753.68383409
1775415.98441282,-3683378.34556114
1825002.55323067,-3472456.58991496
1708925.80184843,-3728097.59457662
1762660.56608421,-3702739.02149376
1824944.04214271,-3472499.17251446
1824536.61852034,-3471833.68143683
1667255.19125248,-3716350.99271016
1784305.50000858,-3545657.10746121
1773164.93065969,-3685230.09661078
1758750.53868074,-3678991.45108895
1823364.10866695,-3471978.69781977
1771481.74861231,-3678837.88113081
1536221.06750124,-3877369.95102485
1774003.92653663,-3681311.70673344
1823450.79846894,-3472068.12853788
1824491.02276244,-3471863.50079796
1581975.78613214,-3905345.70069416
1823492.68519134,-3472676.26974049
1824496.06645997,-3471867.93175227
1788792.02610452,-3495941.16434735
1775137.67199697,-3681233.3806628
1542094.46420689,-3939887.64474047
1771461.50449623,-3680804.97339965
1823478.80192031,-3472048.02791035
1799138.69043379,-3488130.92390488
1825070.03987129,-3472440.8804824
1824833.75164967,-3472434.71380303
1824471.15856195,-3471901.36392137
1824493.74926832,-3471869.12876508
1556626.27021491,-3943729.06268214
1803526.1111901,-3565028.51268747
1758733.42368281,-3678996.98671374
1718402.85057833,-3724161.7372637
1799110.99946525,-3488176.39287709
1774082.57559723,-3685166.61350649
1775375.21338047,-3683406.04117888
1537193.71719608,-3947461.96120038
1824631.97519931,-3471275.82580461
1718589.63796399,-3724363.70045197
1824445.40681575,-3472303.71043257
1824980.09234144,-3472451.26329774
1775161.89595448,-3683305.67977097
1825023.18524784,-3472461.19287212
1798608.27416607,-3490817.70339418
1770783.07984166,-3682224.13632191
1824958.20065863,-3472476.39909943
1809665.22593584,-3561934.19352853
1581991.0909031,-3905354.15681376
1824497.75161851,-3471860.09735325
1774905.13928215,-3683978.60380092
1824479.61082732,-3471856.32055316
1823468.6453276,-3472055.45213339
1773686.28575173,-3682478.96857238
1798604.19762581,-3490745.48037591
1823659.19459927,-3472236.16962726
1775417.43104649,-3683376.34325554
1823359.1500183,-3471980.04489639
1782875.01874371,-3543222.70054573
1774214.65079162,-3682762.04902538
1824616.79984904,-3471272.9466679
1774772.59689257,-3681736.33128299
1775491.24561176,-3683179.24694583
1824411.08509811,-3472079.50947264
1718637.98561904,-3728006.69734157
1774470.53113014,-3685688.95576273
1774050.23399819,-3685956.03892619
1772417.78661403,-3683776.42355546
1538789.6953231,-3944232.45830037
1824438.57720544,-3472297.01042866
1824506.60149923,-3471849.81314296
1770287.44600748,-3682200.1161355
1824628.40656961,-3471156.66270652
1771431.17126936,-3678874.99058422
1764815.27800261,-3696897.52399974
1771885.66641348,-3680667.46964083
1775348.11258966,-3682251.12533393
1824506.35554355,-3471844.45432895
1824630.97033832,-3471279.21926804
1772916.96124981,-3681889.23251009
1772670.43872325,-3682566.50594318
1798603.8861057,-3490812.16242589
1561683.27874604,-3943298.5051282
1774258.58817585,-3685105.32534563
1798598.5510531,-3490812.24219888
1773899.01538987,-3680556.29330212
1645274.1821116,-3780112.98889929
1774924.92204593,-3681957.06812701
1475065.39876059,-3978043.6527327
1824948.52314633,-3472509.17128523
1773614.81921866,-3682939.04343926
1666919.48803912,-3714014.22125032
1824476.28186669,-3471888.18080546
1797688.51087391,-3470042.29985897
1639007.38915947,-3478245.54906178
1823466.56764198,-3472043.0507236
1678067.90443805,-3813446.9666212
1773516.80961136,-3683993.10214412
1823480.98151198,-3472052.79587054
1774416.40398664,-3682072.89458027
1542884.80977222,-3939474.47094278
1799144.78426907,-3488173.19035551
1824833.75164967,-3472434.71380303
1774417.32652064,-3683058.85190619
1824632.07920679,-3471278.94572071
1824825.18124449,-3472426.0839187
1825063.77077448,-3472476.72470042
1825064.22779856,-3472461.7180051
1578252.37205857,-3827403.62512019
1807232.05943379,-3565619.92974861
1773611.78465319,-3685143.20632667
1824617.64955228,-3471284.49505972
1824630.63401808,-3471277.61575272
1823681.90271581,-3472396.95224921
1721481.48269958,-3728571.96524799
1539069.93503541,-3943061.45407347
1824212.7277697,-3472301.21315407
1824841.25727901,-3472413.58144584
1823484.58114343,-3472657.62435039
1771885.66641348,-3680667.46964083
1775002.29274407,-3681883.377999
1775374.40840062,-3683751.41948162
1824484.88978266,-3472314.41520771
1824522.61317184,-3471787.08220183
1772370.22436577,-3544783.91806217
1824950.11627392,-3472483.58545211
1823499.29944632,-3472679.94309135
1775103.51484019,-3684444.63958081
1773626.35532303,-3682627.40762623
1539694.99572981,-3948881.02987909
1438892.83620078,-3650484.07344189
1773430.75628184,-3683943.95056702
1774660.51401148,-3680800.62686208
1672634.77324449,-3810246.8417466
1825059.14610535,-3472477.7896963
1824635.00790819,-3471276.29041611
1824534.23014878,-3471835.97610816
